center,left,right,steering,throttle,brake,speed
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_302.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_302.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_302.jpg,0,0,0,2.94E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_373.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_373.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_373.jpg,0,0,0,2.86E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_443.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_443.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_443.jpg,0,0,0,2.93E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_512.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_512.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_512.jpg,0,0,0,2.99E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_582.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_582.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_582.jpg,0,0,0,3.16E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_650.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_650.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_650.jpg,0,0,0,2.89E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_722.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_722.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_722.jpg,0,0,0,2.87E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_792.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_792.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_792.jpg,0,0,0,3.13E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_863.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_863.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_863.jpg,0,0,0,2.89E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_58_935.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_58_935.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_58_935.jpg,0,0,0,2.84E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_004.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_004.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_004.jpg,0,0,0,2.92E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_071.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_071.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_071.jpg,0,0,0,3.09E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_142.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_142.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_142.jpg,-0.1963582,0,0,2.91E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_211.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_211.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_211.jpg,-0.6801257,0,0,3.02E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_281.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_281.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_281.jpg,-0.7478683,0,0,3.00E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_348.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_348.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_348.jpg,-0.9220094,0,0,3.22E-05
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_418.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_418.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_418.jpg,-0.9220094,0.02266906,0,0.004050161
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_488.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_488.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_488.jpg,-0.9220094,0.09037393,0,0.08045072
